Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20,375,7500,30000,In-store
Foot Locker,1185732,4/17/2021,South,Mississippi,Jackson,Women's Street Footwear,15,375,5625,22500,Online
West Gear,1197831,11/20/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,15,375,5625,19690,Online
West Gear,1197831,1/23/2021,South,Arkansas,Little Rock,Women's Street Footwear,15,375,5625,22500,Online
Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Men's Street Footwear,41,375,15375,8000,Outlet
Walmart,1197831,8/26/2020,South,Texas,Houston,Women's Street Footwear,29,374,10846,4450,Outlet
Walmart,1197831,9/1/2020,South,Texas,Houston,Women's Street Footwear,29,374,10846,4450,Outlet
Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,33,372,12276,6630,Outlet
Foot Locker,1185732,2/6/2020,Northeast,New York,New York,Men's Street Footwear,44,366,16104,8370,Outlet
Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's Street Footwear,56,360,20160,12500,Online
Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,37,359,13283,4520,Outlet
Walmart,1185732,4/18/2020,Northeast,New York,New York,Women's Apparel,48,355,17040,5110,Outlet
Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,46,354,16284,10260,Online
Foot Locker,1185732,3/15/2020,Northeast,New York,New York,Women's Apparel,47,352,16544,4470,Outlet
Foot Locker,1185732,3/17/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,25,350,8750,30630,In-store
Foot Locker,1185732,6/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25,350,8750,35000,In-store
Foot Locker,1185732,10/18/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25,350,8750,30630,In-store
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25,350,8750,30630,In-store
West Gear,1185732,5/12/2021,West,Utah,Salt Lake City,Women's Street Footwear,25,350,8750,30630,In-store
West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,Women's Street Footwear,10,350,3500,12250,In-store
Amazon,1185732,4/10/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,25,350,8750,35000,Online
Walmart,1185732,10/18/2021,South,Mississippi,Jackson,Women's Athletic Footwear,25,350,8750,35000,Online
Sports Direct,1197831,2/21/2021,South,Mississippi,Jackson,Men's Athletic Footwear,25,350,8750,30630,Online
Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,Women's Street Footwear,10,350,3500,14000,Online
Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,Women's Apparel,25,350,8750,35000,Online
Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,Women's Street Footwear,15,350,5250,21000,Online
West Gear,1197831,2/21/2021,South,Oklahoma,Oklahoma City,Women's Apparel,20,350,7000,28000,Online
West Gear,1197831,10/21/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,20,350,7000,24500,Online
Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,25,350,8750,30630,Online
Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,Women's Street Footwear,15,350,5250,18380,Online
Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,Women's Apparel,25,350,8750,30630,Online
West Gear,1185732,2/17/2021,Northeast,West Virginia,Charleston,Women's Apparel,25,350,8750,35000,In-store
Foot Locker,1185732,1/3/2020,Northeast,New York,New York,Women's Street Footwear,32,350,11200,4140,Outlet
Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,36,350,12600,3650,Outlet
Walmart,1185732,4/20/2020,Northeast,New York,New York,Men's Athletic Footwear,43,350,15050,4970,Outlet
Walmart,1185732,4/24/2020,Northeast,New York,New York,Women's Apparel,45,350,15750,4730,Outlet
Walmart,1197831,8/23/2020,South,Texas,Houston,Women's Apparel,38,350,13300,7580,Outlet
Foot Locker,1185732,1/9/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,26,349,9074,4260,Outlet
Foot Locker,1185732,3/9/2020,Northeast,New York,New York,Women's Apparel,46,347,15962,5110,Outlet
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,20,345,6900,24150,In-store
West Gear,1128299,1/6/2021,West,California,San Francisco,Men's Street Footwear,41,341,13981,6010,Outlet
Foot Locker,1185732,3/5/2020,Northeast,New York,New York,Men's Athletic Footwear,41,340,13940,4740,Outlet
Walmart,1185732,7/18/2020,Northeast,New York,New York,Women's Apparel,48,340,16320,4900,Outlet
West Gear,1128299,1/12/2021,West,California,San Francisco,Men's Street Footwear,41,338,13858,5270,Outlet
Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,47,336,15792,9630,Online
Foot Locker,1185732,2/5/2020,Northeast,New York,New York,Women's Apparel,39,333,12987,3510,Outlet
Walmart,1185732,5/5/2020,Northeast,New York,New York,Women's Street Footwear,42,333,13986,5590,Outlet
Walmart,1197831,10/26/2020,South,Texas,Houston,Men's Street Footwear,32,333,10656,4260,Outlet
Walmart,1197831,10/27/2020,South,Texas,Houston,Men's Athletic Footwear,34,333,11322,4760,Outlet
West Gear,1128299,2/12/2021,West,California,San Francisco,Men's Athletic Footwear,46,332,15272,3210,Outlet
Sports Direct,1197831,9/24/2021,South,Texas,Dallas,Women's Street Footwear,35,332,11620,5460,Outlet
Foot Locker,1185732,1/6/2020,Northeast,New York,New York,Women's Apparel,38,330,12540,4010,Outlet
Walmart,1185732,4/26/2020,Northeast,New York,New York,Women's Apparel,50,330,16500,4620,Outlet
Foot Locker,1185732,8/6/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,62,326,20212,11520,Online
Foot Locker,1185732,8/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25,325,8125,32500,In-store
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25,325,8125,32500,In-store
West Gear,1185732,1/11/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,20,325,6500,26000,In-store
West Gear,1185732,4/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,25,325,8125,28440,In-store
West Gear,1185732,4/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,15,325,4875,17060,In-store
West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,10,325,3250,13000,In-store
West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,Men's Apparel,20,325,6500,22750,In-store
Amazon,1185732,3/9/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,25,325,8125,32500,Online
Foot Locker,1185732,2/18/2021,South,Mississippi,Jackson,Women's Athletic Footwear,25,325,8125,32500,Online
Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,20,325,6500,22750,Online
Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,Women's Athletic Footwear,15,325,4875,19500,Online
Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,Men's Apparel,25,325,8125,28440,Online
West Gear,1197831,2/21/2021,South,Arkansas,Little Rock,Women's Street Footwear,15,325,4875,19500,Online
Kohl's,1197831,2/14/2021,Midwest,Kansas,Wichita,Women's Apparel,20,325,6500,22750,Online
Kohl's,1197831,10/14/2021,Midwest,Kansas,Wichita,Men's Athletic Footwear,20,325,6500,22750,Online
West Gear,1185732,3/16/2021,Northeast,West Virginia,Charleston,Women's Street Footwear,20,325,6500,26000,In-store
Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Men's Street Footwear,58,325,18850,11500,Online
Foot Locker,1185732,3/31/2020,Northeast,New York,New York,Women's Athletic Footwear,40,324,12960,5180,Outlet
Sports Direct,1185732,5/24/2020,Southeast,Florida,Miami,Men's Street Footwear,63,323,20349,11400,Online
Foot Locker,1185732,1/21/2020,Northeast,New York,New York,Women's Street Footwear,32,323,10336,3930,Outlet
Foot Locker,1185732,1/30/2020,Northeast,New York,New York,Women's Apparel,36,323,11628,3140,Outlet
Walmart,1197831,8/19/2020,South,Texas,Houston,Men's Athletic Footwear,33,323,10659,4480,Outlet
Walmart,1185732,5/2/2020,Northeast,New York,New York,Women's Apparel,53,322,17066,4780,Outlet
West Gear,1128299,2/11/2021,West,California,San Francisco,Men's Street Footwear,40,322,12880,4250,Outlet
Sports Direct,1197831,9/18/2021,South,Texas,Dallas,Women's Street Footwear,33,322,10626,4460,Outlet
Sports Direct,1197831,4/17/2021,South,Tennessee,Knoxville,Women's Street Footwear,30,322,9660,4830,Outlet
Sports Direct,1197831,9/8/2021,South,Alabama,Birmingham,Women's Street Footwear,31,322,9982,5590,Outlet
West Gear,1197831,11/20/2021,South,Arkansas,Little Rock,Women's Street Footwear,25,320,8000,32000,Online
Foot Locker,1185732,1/2/2020,Northeast,New York,New York,Men's Athletic Footwear,36,320,11520,4030,Outlet
Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Women's Apparel,44,320,14080,4080,Outlet
Foot Locker,1185732,3/10/2020,Northeast,New York,New York,Men's Street Footwear,59,319,18821,11290,Online
Walmart,1197831,8/26/2020,South,Texas,Houston,Women's Street Footwear,37,319,11803,5310,Online
Foot Locker,1185732,8/12/2020,Southeast,Florida,Miami,Men's Street Footwear,43,319,13717,7820,Online
Foot Locker,1185732,3/11/2020,Northeast,New York,New York,Men's Athletic Footwear,41,318,13038,4820,Outlet
Foot Locker,1185732,2/6/2020,Northeast,New York,New York,Men's Street Footwear,54,317,17118,10960,Online
Foot Locker,1185732,1/8/2020,Northeast,New York,New York,Men's Athletic Footwear,39,315,12285,4050,Outlet
Foot Locker,1185732,1/26/2020,Northeast,New York,New York,Men's Athletic Footwear,35,315,11025,3970,Outlet
Foot Locker,1185732,2/1/2020,Northeast,New York,New York,Men's Athletic Footwear,35,315,11025,3640,Outlet
Foot Locker,1185732,2/2/2020,Northeast,New York,New York,Women's Street Footwear,28,315,8820,3350,Outlet
Walmart,1185732,4/21/2020,Northeast,New York,New York,Women's Street Footwear,36,315,11340,4420,Outlet
Walmart,1185732,4/23/2020,Northeast,New York,New York,Men's Apparel,44,315,13860,5130,Outlet
Walmart,1197831,8/12/2020,South,Texas,Houston,Men's Street Footwear,24,315,7560,2950,Outlet
Walmart,1197831,9/7/2020,South,Texas,Houston,Women's Street Footwear,36,315,11340,4310,Outlet
Kohl's,1189833,5/25/2021,West,California,Los Angeles,Men's Street Footwear,39,315,12285,5650,Outlet
Foot Locker,1185732,1/27/2020,Northeast,New York,New York,Women's Street Footwear,27,314,8478,3480,Outlet
Foot Locker,1185732,3/18/2020,Northeast,New York,New York,Women's Street Footwear,37,314,11618,4300,Outlet
Sports Direct,1197831,4/23/2021,South,Tennessee,Knoxville,Women's Street Footwear,39,314,12246,5760,Outlet
Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Men's Street Footwear,46,313,14398,8930,Online
Foot Locker,1185732,3/4/2020,Northeast,New York,New York,Men's Street Footwear,55,313,17215,10500,Online
Walmart,1185732,5/3/2020,Northeast,New York,New York,Men's Street Footwear,62,312,19344,12380,Online
Foot Locker,1185732,2/7/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,38,312,11856,7000,Online
Walmart,1185732,4/28/2020,Northeast,New York,New York,Men's Athletic Footwear,40,312,12480,4490,Outlet
Foot Locker,1185732,7/5/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,63,311,19593,11560,Online
Walmart,1185732,5/4/2020,Northeast,New York,New York,Men's Athletic Footwear,43,310,13330,4670,Outlet
Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,53,308,16324,6690,Online
Sports Direct,1185732,8/3/2021,Southeast,North Carolina,Charlotte,Men's Street Footwear,61,308,18788,9960,Online
Foot Locker,1185732,1/5/2020,Northeast,New York,New York,Men's Apparel,43,306,13158,4870,Outlet
Foot Locker,1185732,1/23/2020,Northeast,New York,New York,Men's Apparel,43,306,13158,4610,Outlet
Walmart,1185732,4/22/2020,Northeast,New York,New York,Women's Athletic Footwear,34,306,10404,4060,Outlet
Walmart,1185732,5/6/2020,Northeast,New York,New York,Women's Athletic Footwear,41,306,12546,5020,Outlet
Sports Direct,1197831,7/31/2020,South,Texas,Houston,Men's Street Footwear,20,306,6120,2570,Outlet
Sports Direct,1197831,8/6/2020,South,Texas,Houston,Men's Street Footwear,23,306,7038,2600,Outlet
Sports Direct,1197831,8/7/2020,South,Texas,Houston,Men's Athletic Footwear,29,306,8874,3640,Outlet
Walmart,1197831,10/21/2020,South,Texas,Houston,Men's Athletic Footwear,31,306,9486,3790,Outlet
Walmart,1197831,10/31/2020,South,Texas,Houston,Women's Apparel,41,306,12546,6900,Outlet
West Gear,1128299,1/11/2021,West,California,San Francisco,Women's Apparel,60,306,18360,4770,Outlet
West Gear,1128299,2/6/2021,West,California,San Francisco,Men's Athletic Footwear,46,306,14076,2820,Outlet
Kohl's,1189833,5/1/2021,West,California,Los Angeles,Men's Street Footwear,36,306,11016,4960,Outlet
Sports Direct,1197831,4/14/2021,South,Tennessee,Knoxville,Women's Apparel,37,306,11322,6680,Outlet
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Men's Street Footwear,62,306,18972,8160,Outlet
Foot Locker,1185732,3/9/2020,Northeast,New York,New York,Women's Apparel,64,305,19520,7610,Online
Walmart,1197831,8/30/2020,South,Texas,Houston,Men's Street Footwear,27,305,8235,3050,Outlet
Walmart,1197831,8/31/2020,South,Texas,Houston,Men's Athletic Footwear,33,305,10065,3820,Outlet
Foot Locker,1197831,8/8/2021,West,Idaho,Boise,Women's Street Footwear,39,305,11895,5110,Outlet
West Gear,1185732,9/17/2020,Southeast,Florida,Miami,Men's Street Footwear,60,304,18240,10400,Online
Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,36,302,10872,5650,Outlet
West Gear,1128299,1/18/2021,West,California,San Francisco,Men's Street Footwear,45,302,13590,5440,Outlet
Sports Direct,1197831,4/1/2021,South,Tennessee,Knoxville,Men's Apparel,30,300,9000,31500,Outlet
Sports Direct,1197831,9/28/2021,South,Alabama,Birmingham,Men's Apparel,30,300,9000,40500,Outlet
Foot Locker,1185732,5/19/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,30,300,9000,31500,In-store
Foot Locker,1185732,9/19/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,15,300,4500,15750,In-store
West Gear,1185732,2/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20,300,6000,24000,In-store
West Gear,1185732,10/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,20,300,6000,21000,In-store
Amazon,1185732,1/22/2021,Midwest,Ohio,Columbus,Women's Street Footwear,30,300,9000,36000,Online
Foot Locker,1185732,4/17/2021,South,Mississippi,Jackson,Women's Athletic Footwear,20,300,6000,24000,Online
Sports Direct,1197831,1/23/2021,South,Mississippi,Jackson,Women's Athletic Footwear,20,300,6000,24000,Online
Walmart,1197831,4/20/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,25,300,7500,26250,Online
Walmart,1197831,4/20/2021,South,Arkansas,Little Rock,Women's Street Footwear,15,300,4500,18000,Online
Walmart,1197831,10/21/2021,South,Arkansas,Little Rock,Women's Street Footwear,20,300,6000,24000,Online
Kohl's,1197831,11/20/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,15,300,4500,15750,Online
Kohl's,1197831,2/14/2021,South,Oklahoma,Oklahoma City,Women's Street Footwear,15,300,4500,15750,Online
Kohl's,1197831,4/13/2021,Midwest,Kansas,Wichita,Women's Apparel,30,300,9000,31500,Online
Foot Locker,1197831,10/14/2021,Midwest,Kansas,Wichita,Women's Apparel,30,300,9000,31500,Online
West Gear,1185732,6/3/2021,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,30,300,9000,31500,In-store
West Gear,1185732,1/10/2021,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,25,300,7500,26250,In-store
West Gear,1185732,2/10/2021,Midwest,Indiana,Indianapolis,Women's Apparel,20,300,6000,24000,In-store
West Gear,1185732,1/17/2021,Midwest,Indiana,Indianapolis,Women's Street Footwear,25,300,7500,30000,In-store
West Gear,1185732,2/17/2021,Midwest,Indiana,Indianapolis,Women's Street Footwear,30,300,9000,36000,In-store
Sports Direct,1185732,1/7/2021,Northeast,New Jersey,Newark,Women's Street Footwear,30,300,9000,27000,In-store
Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,45,300,13500,8370,Online
Walmart,1185732,5/4/2020,Northeast,New York,New York,Men's Athletic Footwear,51,300,15300,6430,Online
West Gear,1185732,4/24/2020,Southeast,Florida,Miami,Men's Street Footwear,52,300,15600,8740,Online
Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's Street Footwear,60,299,17940,10760,Online
West Gear,1185732,9/11/2020,Southeast,Florida,Miami,Men's Street Footwear,60,299,17940,10760,Online
Walmart,1197831,9/10/2020,South,Texas,Houston,Women's Apparel,42,298,12516,7130,Outlet
Walmart,1197831,10/28/2020,South,Texas,Houston,Women's Street Footwear,38,298,11324,4300,Outlet
West Gear,1128299,7/23/2021,West,Oregon,Portland,Men's Street Footwear,60,298,17880,7510,Outlet
Walmart,1197831,9/1/2020,South,Texas,Houston,Women's Street Footwear,39,297,11583,5330,Online
Foot Locker,1185732,3/7/2020,Northeast,New York,New York,Women's Athletic Footwear,38,297,11286,4290,Outlet
Kohl's,1189833,4/19/2021,West,California,Los Angeles,Men's Street Footwear,36,297,10692,4700,Outlet
Walmart,1128299,7/16/2021,Southeast,Florida,Orlando,Men's Street Footwear,68,297,20196,7470,Outlet
Foot Locker,1185732,2/7/2020,Northeast,New York,New York,Men's Athletic Footwear,37,296,10952,3830,Outlet
Foot Locker,1185732,3/6/2020,Northeast,New York,New York,Women's Street Footwear,37,296,10952,4490,Outlet
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,25,295,7375,25810,In-store
Foot Locker,1185732,3/12/2020,Northeast,New York,New York,Women's Street Footwear,35,295,10325,4340,Outlet
Walmart,1197831,8/17/2020,South,Texas,Houston,Women's Apparel,32,295,9440,5380,Outlet
Walmart,1197831,8/18/2020,South,Texas,Houston,Men's Street Footwear,28,295,8260,3390,Outlet
Walmart,1197831,8/24/2020,South,Texas,Houston,Men's Street Footwear,29,295,8555,3420,Outlet
Sports Direct,1185732,7/2/2021,Southeast,North Carolina,Charlotte,Men's Street Footwear,60,294,17640,8820,Online
Walmart,1185732,4/29/2020,Northeast,New York,New York,Women's Street Footwear,43,294,12642,5310,Outlet
Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,47,293,13771,8680,Online
West Gear,1128299,2/11/2021,West,California,San Francisco,Men's Street Footwear,51,293,14943,5980,Online
Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,48,290,13920,5290,Online
Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Women's Apparel,59,290,17110,6160,Online
Walmart,1185732,4/18/2020,Northeast,New York,New York,Women's Apparel,62,290,17980,6650,Online
Walmart,1185732,4/26/2020,Northeast,New York,New York,Women's Apparel,68,290,19720,7490,Online
Walmart,1185732,7/18/2020,Northeast,New York,New York,Women's Apparel,68,290,19720,6900,Online
West Gear,1185732,4/24/2020,Southeast,Florida,Miami,Men's Street Footwear,55,290,15950,9410,Online
Foot Locker,1185732,12/5/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,67,290,19430,11660,Online
Foot Locker,1185732,1/29/2020,Northeast,New York,New York,Men's Apparel,43,289,12427,3980,Outlet
Foot Locker,1185732,2/3/2020,Northeast,New York,New York,Women's Athletic Footwear,31,289,8959,3310,Outlet
Foot Locker,1185732,2/9/2020,Northeast,New York,New York,Women's Athletic Footwear,33,289,9537,3810,Outlet
Walmart,1185732,4/25/2020,Northeast,New York,New York,Men's Apparel,51,289,14739,4720,Outlet
Sports Direct,1197831,7/26/2020,South,Texas,Houston,Men's Athletic Footwear,23,289,6647,2790,Outlet
Walmart,1197831,10/25/2020,South,Texas,Houston,Women's Apparel,44,289,12716,7250,Outlet
West Gear,1128299,11/7/2020,West,California,San Francisco,Men's Street Footwear,28,289,8092,3400,Outlet
West Gear,1128299,1/30/2021,West,California,San Francisco,Men's Street Footwear,36,289,10404,3430,Outlet
Kohl's,1189833,5/7/2021,West,California,Los Angeles,Men's Street Footwear,38,289,10982,5050,Outlet
Foot Locker,1185732,7/16/2021,South,Mississippi,Jackson,Men's Street Footwear,47,289,13583,6250,Outlet
Foot Locker,1185732,2/8/2020,Northeast,New York,New York,Women's Street Footwear,36,288,10368,4350,Outlet
Foot Locker,1185732,3/8/2020,Northeast,New York,New York,Men's Apparel,45,288,12960,4410,Outlet
Kohl's,1189833,5/26/2021,West,California,Los Angeles,Men's Athletic Footwear,42,288,12096,3390,Outlet
West Gear,1185732,2/10/2021,Southeast,Florida,Orlando,Men's Street Footwear,36,288,10368,4870,Outlet
Foot Locker,1185732,9/5/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,51,287,14637,8490,Online
Walmart,1197831,8/13/2020,South,Texas,Houston,Men's Athletic Footwear,30,287,8610,3620,Outlet
West Gear,1128299,1/24/2021,West,California,San Francisco,Men's Street Footwear,40,287,11480,4020,Outlet
West Gear,1128299,1/25/2021,West,California,San Francisco,Men's Athletic Footwear,42,287,12054,2050,Outlet
Foot Locker,1185732,3/15/2020,Northeast,New York,New York,Women's Apparel,61,286,17446,6980,Online
Walmart,1185732,5/5/2020,Northeast,New York,New York,Women's Street Footwear,54,285,15390,7230,Online
Walmart,1197831,10/27/2020,South,Texas,Houston,Men's Athletic Footwear,44,285,12540,6020,Online
Sports Direct,1197831,4/23/2021,South,Tennessee,Knoxville,Women's Street Footwear,46,285,13110,7870,Online
Walmart,1197831,8/25/2020,South,Texas,Houston,Men's Athletic Footwear,32,285,9120,3830,Outlet
Kohl's,1189833,4/25/2021,West,California,Los Angeles,Men's Street Footwear,30,285,8550,4020,Outlet
Foot Locker,1185732,9/23/2020,Southeast,Florida,Miami,Men's Street Footwear,53,284,15052,8280,Online
Foot Locker,1185732,4/6/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,33,283,9339,5320,Online
Foot Locker,1185732,5/5/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,48,282,13536,7440,Online
Foot Locker,1185732,1/4/2020,Northeast,New York,New York,Women's Athletic Footwear,36,281,10116,3740,Outlet
Foot Locker,1185732,2/4/2020,Northeast,New York,New York,Men's Apparel,44,281,12364,4450,Outlet
Walmart,1197831,10/22/2020,South,Texas,Houston,Women's Street Footwear,34,281,9554,3730,Outlet
West Gear,1128299,1/8/2021,West,California,San Francisco,Women's Street Footwear,42,281,11802,5310,Outlet
Sports Direct,1197831,10/16/2021,South,Texas,Dallas,Men's Street Footwear,46,281,12926,6080,Outlet
Foot Locker,1185732,1/9/2021,Southeast,Georgia,Atlanta,Women's Apparel,30,281,8430,4470,Outlet
Walmart,1185732,4/24/2020,Northeast,New York,New York,Women's Apparel,59,280,16520,6610,Online
Foot Locker,1185732,2/10/2020,Northeast,New York,New York,Men's Apparel,47,280,13160,4610,Outlet
Walmart,1185732,5/1/2020,Northeast,New York,New York,Men's Apparel,47,280,13160,4740,Outlet
West Gear,1128299,1/31/2021,West,California,San Francisco,Men's Athletic Footwear,39,280,10920,1970,Outlet
Sports Direct,1197831,9/11/2021,South,Texas,Dallas,Men's Athletic Footwear,40,280,11200,4590,Outlet
Sports Direct,1197831,9/15/2021,South,Texas,Dallas,Women's Apparel,42,280,11760,6470,Outlet
Sports Direct,1197831,9/5/2021,South,Alabama,Birmingham,Women's Apparel,36,280,10080,6450,Outlet
